county_name,2017,2022,pct_change_5yr,high_risk
ESTILL,1720.5802469135801,1969.2333333333333,14.451699469745357,0
FAYETTE,3182.28125,4417.591836734694,38.81839754844717,0
FLEMING,6459.077922077922,6646.934065934066,2.9084049785810495,1
FLOYD,380.4193548387097,402.8,5.883151021792587,1
FRANKLIN,2516.6543209876545,2721.5,8.139603333840236,0
FULTON,6743.086419753086,6782.067415730337,0.5780883344911724,1
GALLATIN,1160.7682926829268,1393.2142857142858,20.025184569273332,0
GARRARD,4634.305882352941,4645.775280898876,0.24748902720491167,1
GRANT,3235.768292682927,3565.741573033708,10.197679515463221,0
GRAVES,10815.747572815533,12832.583333333334,18.647215524768228,0
GRAYSON,6817.829787234043,9841.04255319149,44.3427433700123,0
GREEN,5272.858695652174,6776.580645161291,28.518153743604707,0
GREENUP,2114.5222222222224,2991.4166666666665,41.47009831482813,0
HANCOCK,1655.2528735632184,2704.9375,63.41536348927483,0
HARDIN,7820.386363636364,8494.020833333334,8.613825946365901,0
HARLAN,193.53488372093022,263.2093023255814,36.00096130737804,0
HARRISON,5231.021052631579,6892.989247311828,31.77139181736155,0
HART,5075.364583333333,6622.091836734694,30.47519499348993,0
HENDERSON,9303.136842105263,11943.29347826087,28.37920887293054,0
HENRY,4306.226804123711,5336.065217391304,23.915099229826986,0
HICKMAN,7381.882352941177,7851.333333333333,6.35950233215397,1
HOPKINS,5801.177777777778,11098.583333333334,91.31603544107902,0
JACKSON,2312.6046511627906,3155.5227272727275,36.448861922253464,0
JEFFERSON,708.2658227848101,642.7411764705882,-9.25142004686706,1
JESSAMINE,2507.2093023255816,3075.8390804597702,22.679788943298497,0
JOHNSON,805.5441176470588,1094.2207792207791,35.836232336588324,0
KENTON,1312.2692307692307,1320.433734939759,0.6221668525857602,1
KNOTT,571.6808510638298,449.6595744680851,-21.344300122818115,1
KNOX,1265.9125,1407.6835443037974,11.19911876245771,0
LARUE,4686.435294117647,5773.566666666667,23.197404942591938,0
LAUREL,2906.5057471264367,3275.968085106383,12.711563992096735,0
LAWRENCE,1587.3866666666668,1983.4606741573034,24.95132508088577,0
LEE,1130.5087719298247,1188.658536585366,5.1436809779261825,1
LESLIE,67.02439024390245,1913.754716981132,2755.3108950591854,0
LETCHER,293.48837209302326,167.27142857142857,-43.00577314919629,1
LEWIS,4023.4303797468356,5032.931034482759,25.09054611253007,0
LINCOLN,5046.191489361702,5874.571428571428,16.41594340912554,0
LIVINGSTON,4488.975903614458,8040.525641025641,79.11714862518035,0
LOGAN,12345.393617021276,14168.131313131313,14.764516650136834,0
LYON,1337.5405405405406,1815.5595238095239,35.73865380377938,0
MADISON,6391.105263157895,7080.288659793814,10.783477477812472,0
MAGOFFIN,1452.6933333333334,2370.5113636363635,63.18043934276311,0
MARION,5818.923076923077,7544.042105263158,29.64670619520008,0
MARSHALL,3427.034090909091,4118.8125,20.18592143352156,0
MARTIN,640.258064516129,549.6666666666666,-14.149200591159483,1
MASON,4878.833333333333,4253.489795918367,-12.817481038806392,1
MCCRACKEN,2785.1521739130435,3199.443181818182,14.874986429307874,0
MCCREARY,659.7794117647059,717.6410256410256,8.769842290403979,0
MCLEAN,6973.628205128205,7070.619047619048,1.3908232506504772,1
MEADE,5563.2588235294115,5890.0,5.873197469955194,1
MENIFEE,1112.6410256410256,1141.367088607595,2.5817907397419013,1
MERCER,4205.806451612903,5901.244897959184,40.31185138574527,0
METCALFE,4317.67032967033,5230.7040816326535,21.146444314845063,0
MONROE,5248.6781609195405,6592.921348314607,25.611080469821797,0
MONTGOMERY,3396.987951807229,2819.9,-16.988224862564284,1
MORGAN,3096.3764705882354,3709.929411764706,19.815191951123133,0
MUHLENBERG,4754.471910112359,5900.063157894737,24.09502610260042,0
NELSON,7767.4157303370785,7263.875,-6.4827318096340205,1
NICHOLAS,3250.825,3469.813953488372,6.736411633612155,1
OHIO,6401.855421686747,6307.666666666667,-1.4712727610343832,1
OLDHAM,1697.9101123595506,2316.875,36.45451447251744,0
OWEN,5016.351648351649,5821.390804597701,16.048299893620595,0
OWSLEY,1041.8970588235295,967.5555555555555,-7.135206174007013,1
PENDLETON,3715.6463414634145,3974.211764705882,6.958827603076754,0
PERRY,696.8360655737705,551.0196078431372,-20.92550385011558,1
PIKE,662.6428571428571,1043.6029411764705,57.49101192703016,0
POWELL,913.2207792207793,1351.2564102564102,47.966016652554934,0
PULASKI,6914.20202020202,8372.336734693878,21.088980481499632,0
ROBERTSON,1417.851851851852,1321.7391304347825,-6.778756277782966,1
ROCKCASTLE,2576.759036144578,4075.548780487805,58.16569276829856,0
ROWAN,1296.0,1456.1882352941177,12.360203340595502,0
RUSSELL,3151.0714285714284,4603.730337078651,46.10047539181938,0
SCOTT,4217.263736263736,4575.02,8.483137079143567,0
SHELBY,6943.330097087379,7416.466019417476,6.814250737244514,0
SIMPSON,4937.087912087912,6960.174418604651,40.977323931450286,0
SPENCER,2679.8,2498.5978260869565,-6.761779756438677,1
TAYLOR,4102.9111111111115,4086.75,-0.3938937664855941,1
TODD,6899.47572815534,9031.093457943925,30.895358050031135,0
TRIGG,5123.3,5377.26,4.956961333515508,1
TRIMBLE,2669.5194805194806,2254.4651162790697,-15.547905429019105,1
UNION,10345.527472527472,14479.917647058823,39.96306795869244,0
WARREN,9433.252631578947,11144.273684210526,18.138187531453678,0
WASHINGTON,5135.2,6366.478260869565,23.97722115729797,0
WAYNE,3134.629213483146,4848.0888888888885,54.662276100648455,0
WEBSTER,7365.704545454545,11036.732558139534,49.83946871654552,0
WHITLEY,1845.1744186046512,2440.6153846153848,32.270172402510056,0
WOLFE,1128.9615384615386,1584.0506329113923,40.31041616085646,0
WOODFORD,3475.546511627907,3944.1958762886597,13.484191999526503,0
